Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,12313,2022-05-16,0.0001592621,0.0029968473,0.0033914699,21,100
Market-Adjusted Model,12314,2022-05-16,-0.023270683,-0.017997023,-0.020038475,21,100
Market-Adjusted Model,12315,2022-05-16,0.0205299372,0.0215427987,0.023762145,21,100
Market-Adjusted Model,12316,2022-05-16,-0.001779867,0.0010227262,0.0014523407,21,100
Market-Adjusted Model,12317,2022-05-16,-0.018929252,-0.012049388,-0.015697044,21,100
Market-Adjusted Model,12318,2022-05-16,0.0009371983,0.0050175329,0.0041694061,21,100
Market-Adjusted Model,12321,2022-05-16,0.0209419751,0.0231488381,0.0241741829,21,100
Market-Adjusted Model,12325,2022-05-16,0.176329133,0.19002438,0.1795613408,21,100
Market-Adjusted Model,12326,2022-05-16,-0.048901264,-0.049712777,-0.045669056,21,100
Market-Adjusted Model,12329,2022-05-16,-0.033947648,-0.030276617,-0.030715441,21,100
Market-Adjusted Model,12331,2022-05-16,0.036209865,0.0354975703,0.0394420728,21,100
Market-Adjusted Model,12332,2022-05-16,-0.104687517,-0.094772963,-0.10145531,21,100
Market-Adjusted Model,12333,2022-05-16,0.0689401875,0.0753129368,0.0721723952,21,100
Market-Adjusted Model,12334,2022-05-16,0.0496338515,0.0509311019,0.0528660592,21,100
Market-Adjusted Model,12338,2022-05-16,-0.070528963,-0.070867881,-0.067296755,21,100
Market-Adjusted Model,12339,2022-05-16,0.2094394783,0.2315221237,0.2126716861,21,100
Market-Adjusted Model,12341,2022-05-16,-0.024305608,-0.024689252,-0.0210734,21,100
Market-Adjusted Model,12345,2022-05-16,0.0775252396,0.0797369684,0.0807574474,21,100
Market-Adjusted Model,12350,2022-05-16,0.060606004,0.205824966,0.0638382118,21,100
Market-Adjusted Model,12355,2022-05-16,-0.026689306,-0.025674811,-0.023457099,21,100
Market-Adjusted Model,12358,2022-05-16,-0.573921971,-0.793473855,-0.570689763,21,100
Market-Adjusted Model,12360,2022-05-16,-0.111987385,-0.04705713,-0.108755177,21,100
Market-Adjusted Model,12363,2022-05-16,0.1073170464,0.1142033262,0.1105492542,21,100
Market-Adjusted Model,12366,2022-05-16,0.0518192258,0.0548285007,0.0550514335,21,100
Market-Adjusted Model,12367,2022-05-16,-0.024440361,0.0020555464,-0.021208153,21,100
Market-Adjusted Model,12368,2022-05-16,0.0348327516,0.0349346955,0.0380649594,21,100
Market-Adjusted Model,12369,2022-05-16,0.0203112754,0.0304912612,0.0235434832,21,100
Market-Adjusted Model,12370,2022-05-16,-0.083409764,-0.079100231,-0.080177556,21,100
Market-Adjusted Model,12372,2022-05-16,-0.053902537,-0.043340396,-0.050670329,21,100
Market-Adjusted Model,12373,2022-05-16,-0.161132745,-0.166783845,-0.157900538,21,100
Market-Adjusted Model,12376,2022-05-16,0.0708074181,0.0734427095,0.0740396259,21,100
Market-Adjusted Model,12377,2022-05-16,0.0217029045,0.0446997404,0.0249351123,21,100
Market-Adjusted Model,12380,2022-05-16,0.1278350267,0.1404366604,0.1310672345,21,100
Market-Adjusted Model,12385,2022-05-16,0.01836396,0.0194726116,0.0215961677,21,100
Market-Adjusted Model,12391,2022-05-16,0.06040272,0.0662998657,0.0636349278,21,100
Market-Adjusted Model,12397,2022-05-16,-0.123931607,-0.119254228,-0.1206994,21,100
Market-Adjusted Model,12400,2022-05-16,0.0442859815,0.051057979,0.0475181892,21,100
Market-Adjusted Model,12411,2022-05-16,0.0429185286,0.0766182965,0.0461507363,21,100
Market-Adjusted Model,12412,2022-05-16,-0.016646144,-0.016239786,-0.013413936,21,100
Market-Adjusted Model,12431,2022-05-16,-0.013081724,-0.010374434,-0.009849516,21,100
Market-Adjusted Model,12437,2022-05-16,0.037302757,0.0452608346,0.0405349648,21,100
Market-Adjusted Model,12442,2022-05-16,0.1695279611,0.1818695556,0.1727601689,21,100
Market-Adjusted Model,12443,2022-05-16,-0.192004102,-0.188028778,-0.188771894,21,100
Market-Adjusted Model,12447,2022-05-16,-0.225650191,-0.231981011,-0.222417983,21,100
Market-Adjusted Model,12448,2022-05-16,0.0389357852,0.0419375535,0.0421679929,21,100
Market-Adjusted Model,12449,2022-05-16,-0.002845488,0.0059252291,0.0003867193,21,100
Market-Adjusted Model,12452,2022-05-16,0.2194199602,0.2296956693,0.222652168,21,100
Market-Adjusted Model,12453,2022-05-16,0.0051188794,0.0039583326,0.0083510871,21,100
Market-Adjusted Model,12457,2022-05-16,0.0386915459,0.0386252514,0.0419237536,21,100
Market-Adjusted Model,12461,2022-05-16,0.0299009865,0.0306713946,0.0331331943,21,100
Market-Adjusted Model,12462,2022-05-16,0.0321407163,0.0330985124,0.035372924,21,100
